City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Yuanping,CN,2022-11-08 14:43:58,38.7153,112.7575,48.34,39,100,0.98
245,Krasnoarmeysk,RU,2022-11-08 14:43:59,51.0239,45.6969,37.02,68,97,6.71
246,Sulina,RO,2022-11-08 14:43:59,45.1559,29.6536,50.68,71,70,7.09
247,Souillac,MU,2022-11-08 14:44:00,-20.5167,57.5167,75.58,73,40,9.22
248,Martapura,ID,2022-11-08 14:44:00,-3.4167,114.85,75.52,93,100,1.97
249,Porto Novo,BJ,2022-11-08 14:44:02,6.4965,2.6036,87.62,60,100,10.8
250,San Pedro,PH,2022-11-08 14:44:02,14.35,121.0167,79.83,81,20,3.44
251,San Cristobal,VE,2022-11-08 14:44:03,7.7669,-72.225,71.78,66,79,3.31
252,Oistins,BB,2022-11-08 14:39:58,13.0667,-59.5333,87.89,66,40,18.41
253,Umm Kaddadah,SD,2022-11-08 14:44:04,13.6017,26.6876,88.38,13,3,12.86
254,Bilma,NE,2022-11-08 14:44:04,18.6853,12.9164,86.83,12,13,6.08
255,Kamenka,RU,2022-11-08 14:44:05,51.3223,42.7678,36.9,74,100,7.47
256,Erzin,TR,2022-11-08 14:44:06,36.9559,36.2,61.07,67,44,7.58
257,Lagunas,PE,2022-11-08 14:44:07,-5.2269,-75.6753,95.79,36,62,1.16
258,Arlit,NE,2022-11-08 14:44:07,18.7369,7.3853,88.52,9,0,6.87
259,Mamallapuram,IN,2022-11-08 14:44:08,12.6264,80.1722,78.85,79,91,12.08
260,Monteiro,BR,2022-11-08 14:44:09,-7.8894,-37.12,86.09,36,27,10.38
261,Yatou,CN,2022-11-08 14:44:09,37.15,122.3833,53.28,88,24,6.02
262,Gonaives,HT,2022-11-08 14:44:10,19.45,-72.6833,83.71,61,0,6.17
263,Ler,SS,2022-11-08 14:44:12,8.3018,30.1418,88.79,35,100,3.96
264,Ilebo,CD,2022-11-08 14:45:12,-4.3167,20.5833,74.84,95,99,2.01
265,San Pedro De Macoris,DO,2022-11-08 14:41:00,18.4616,-69.2972,84.81,73,18,10.63
266,Esmeraldas,BR,2022-11-08 14:45:13,-19.7625,-44.3139,78.04,55,92,7.02
267,Xinmin,CN,2022-11-08 14:45:15,41.9908,122.8253,48.6,70,62,16.28
268,Eyrarbakki,IS,2022-11-08 14:45:16,63.863,-21.1481,44.2,64,100,21.52
269,Pleasanton,US,2022-11-08 14:45:16,37.6624,-121.8747,47.23,93,100,4.61
270,Longyearbyen,SJ,2022-11-08 14:45:17,78.2186,15.6401,19.24,79,75,9.22
271,Nago,JP,2022-11-08 14:45:18,26.5881,127.9761,74.25,74,84,11.79
272,Tocopilla,CL,2022-11-08 14:45:19,-22.092,-70.1979,69.03,60,6,7.25
273,Kruisfontein,ZA,2022-11-08 14:45:19,-34.0033,24.7314,69.89,61,99,9.86
274,Muros,ES,2022-11-08 14:45:20,42.7762,-9.0603,63.09,77,78,17.34
275,Batemans Bay,AU,2022-11-08 14:45:20,-35.7167,150.1833,55.04,93,2,3.78
276,Rawson,AR,2022-11-08 14:45:21,-43.3002,-65.1023,71.73,40,100,7.02
277,Vila Velha,BR,2022-11-08 14:42:27,-20.3297,-40.2925,80.55,72,40,8.05
278,Quatre Cocos,MU,2022-11-08 14:45:22,-20.2078,57.7625,76.08,71,71,12.64
279,Bairiki,KI,2022-11-08 14:45:22,1.3292,172.9752,77.0,83,20,5.75
280,Znamenskoye,RU,2022-11-08 14:45:24,57.1281,73.8282,26.31,89,100,6.29
281,Luau,AO,2022-11-08 14:45:24,-10.7073,22.2247,72.05,82,89,2.66
282,Srisailam,IN,2022-11-08 14:42:18,16.0833,78.8667,67.95,79,1,3.27
283,Chivilcoy,AR,2022-11-08 14:45:25,-34.8957,-60.0167,81.45,17,14,13.94
284,Sorrento,IT,2022-11-08 14:45:25,40.626,14.3744,68.65,79,0,0.0
285,Naro,IT,2022-11-08 14:45:27,37.2935,13.7936,67.24,55,61,5.39
286,Vilcun,CL,2022-11-08 14:45:27,-38.65,-72.2333,63.34,41,100,3.22
287,Tutoia,BR,2022-11-08 14:45:28,-2.7619,-42.2744,84.7,60,100,14.23
288,Isoka,ZM,2022-11-08 14:45:29,-10.1606,32.6335,81.72,35,92,4.09
289,Balakhninskiy,RU,2022-11-08 14:45:31,58.0106,114.2769,13.87,98,100,2.86
290,Verkhnyaya Inta,RU,2022-11-08 14:45:32,65.9811,60.3094,25.56,97,100,6.2
291,Tuensang,IN,2022-11-08 14:45:33,26.2833,94.8333,58.8,95,2,2.77
292,Tucuman,AR,2022-11-08 14:43:44,-26.8241,-65.2226,80.6,32,14,6.91
293,Asheboro,US,2022-11-08 14:45:35,35.7079,-79.8136,62.22,33,0,8.05
294,Honningsvag,NO,2022-11-08 14:45:35,70.9821,25.9704,37.15,93,75,3.44
